; BANTUL;;PUNDONG;3;" Srihardono;  Pundong;  Bantul";102;AMAN;AMAN;;;;;
; BANTUL;5;BAMBANGLIPURO;1;" Sidomulyo;  Bambanglipuro;  Bantul";103;AMAN;AMAN;;;;;
; BANTUL;;BAMBANGLIPURO;2;" Mulyodadi;  Bambanglipuro;  Bantul";104;WASPADA;SIAGA;" Bersinar; IBM; PSM";1;1;1;1
; BANTUL;;BAMBANGLIPURO;3;" Sumbermulyo;  Bambanglipuro;  Bantul";105;SIAGA;SIAGA;;;;;
; BANTUL;6;PANDAK;1;" Catuharjo;  Pandak;  Bantul";106;SIAGA;SIAGA;;;;;
; BANTUL;;PANDAK;2;" Triharjo;  Pandak;  Bantul";107;SIAGA;SIAGA;;;;;
; BANTUL;;PANDAK;3;" Gilangharjo;  Pandak;  Bantul";108;AMAN;AMAN;;;;;
; BANTUL;;PANDAK;4;" Wijirejo;  Pandak;  Bantul";109;SIAGA;SIAGA;;;;;
; BANTUL;7;PAJANGAN;1;" Triwidadi;  Pajangan;  Bantul";110;AMAN;AMAN;;;;;
; BANTUL;;PAJANGAN;2;" Sendangsari;  Pajangan;  Bantul";111;AMAN;AMAN;;;;;
; BANTUL;;PAJANGAN;3;" Guwosari;  Pajangan;  Bantul";112;AMAN;AMAN;;;;;
; BANTUL;8;BANTUL;1;" Palbapang;  Bantul;  Bantul";113;SIAGA;SIAGA;;;;;
; BANTUL;;BANTUL;2;" Ringinharjo;  Bantul;  Bantul";114;SIAGA;SIAGA;;;;;
; BANTUL;;BANTUL;3;" Bantul;  Bantul;  Bantul";115;AMAN;AMAN;;;;;
; BANTUL;;BANTUL;4;" Trirenggo;  Bantul;  Bantul";116;SIAGA;SIAGA;;;;;
; BANTUL;;BANTUL;5;" Sabdodadi;  Bantul;  Bantul";117;SIAGA;SIAGA;;;;;
; BANTUL;9;JETIS;1;" Patalan;  Jetis;  Bantul";118;AMAN;AMAN;;;;;
; BANTUL;;JETIS;2;" Canden;  Jetis;  Bantul";119;AMAN;AMAN;;;;;
; BANTUL;;JETIS;3;" Sumberagung;  Jetis;  Bantul";120;SIAGA;SIAGA;;;;;
; BANTUL;;JETIS;4;" Trimulyo;  Jetis;  Bantul";121;AMAN;AMAN;;;;;
; BANTUL;10;IMOGIRI;1;" Selopamioro;  Imogiri;  Bantul";122;SIAGA;SIAGA;;;;;
; BANTUL;;IMOGIRI;2;" Sriharjo;  Imogiri;  Bantul";123;AMAN;AMAN;;;;;
; BANTUL;;IMOGIRI;3;" Wukirsari;  Imogiri;  Bantul";124;AMAN;AMAN;;;;;
; BANTUL;;IMOGIRI;4;" Kebonagung;  Imogiri;  Bantul";125;SIAGA;SIAGA;;;;;
; BANTUL;;IMOGIRI;5;" Karangtengah;  Imogiri;  Bantul";126;AMAN;AMAN;;;;;
; BANTUL;;IMOGIRI;6;" Girirejo;  Imogiri;  Bantul";127;SIAGA;SIAGA;;;;;
; BANTUL;;IMOGIRI;7;" Karangtalun;  Imogiri;  Bantul";128;AMAN;AMAN;;;;;
; BANTUL;;IMOGIRI;8;" Imogiri;  Imogiri;  Bantul";129;AMAN;AMAN;;;;;
; BANTUL;11;DLINGO;1;" Mangunan;  Dlingo;  Bantul";130;AMAN;AMAN;;;;;
; BANTUL;;DLINGO;2;" Muntuk;  Dlingo;  Bantul";131;AMAN;AMAN;;;;;
; BANTUL;;DLINGO;3;" Dlingo;  Dlingo;  Bantul";132;AMAN;AMAN;;;;;
; BANTUL;;DLINGO;4;" Temuwuh;  Dlingo;  Bantul";133;AMAN;AMAN;;;;;
; BANTUL;;DLINGO;5;"  Terong;  Dlingo;  Bantul";134;AMAN;AMAN;;;;;
; BANTUL;;DLINGO;6;" Jatimulyo;  Dlingo;  Bantul";135;SIAGA;SIAGA;;;;;
; BANTUL;12;BANGUNTAPAN;1;" Baturetno;  Banguntapan;  Bantul";136;WASPADA;SIAGA; Bersinar;1;;;1
; BANTUL;;BANGUNTAPAN;2;" Banguntapan;  Banguntapan;  Bantul";137;SIAGA;SIAGA;;;;;
; BANTUL;;BANGUNTAPAN;3;"  Jagalan;  Banguntapan;  Bantul";138;AMAN;AMAN;;;;;
; BANTUL;;BANGUNTAPAN;4;" Singosaren;  Banguntapan;  Bantul";139;SIAGA;SIAGA;;;;;
; BANTUL;;BANGUNTAPAN;5;" Jambidan;  Banguntapan;  Bantul";140;SIAGA;SIAGA;;;;;
; BANTUL;;BANGUNTAPAN;6;" Potorono;  Banguntapan;  Bantul";141;SIAGA;SIAGA;;;;;
; BANTUL;;BANGUNTAPAN;7;" Tamanan;  Banguntapan;  Bantul";142;SIAGA;SIAGA;;;;;
; BANTUL;;BANGUNTAPAN;8;" Wirokerten;  Banguntapan;  Bantul";143;AMAN;AMAN;;;;;
; BANTUL;13;PLERET;1;" Wonokromo;  Pleret;  Bantul";144;SIAGA;SIAGA;;;;;
; BANTUL;;PLERET;2;" Pleret;  Pleret;  Bantul";145;SIAGA;SIAGA;;;;;
; BANTUL;;PLERET;3;" Segoroyoso;  Pleret;  Bantul";146;AMAN;AMAN;;;;;
; BANTUL;;PLERET;4;" Bawuran;  Pleret;  Bantul";147;AMAN;AMAN;;;;;
; BANTUL;;PLERET;5;" Wonolelo;  Pleret;  Bantul";148;AMAN;AMAN;;;;;
; BANTUL;14;PIYUNGAN;1;" Sitimulyo;  Piyungan;  Bantul";149;SIAGA;SIAGA;;;;;
; BANTUL;;PIYUNGAN;2;" Srimulyo;  Piyungan;  Bantul";150;SIAGA;SIAGA;;;;;
