5;Timor Tengah Utara;1;Miomaffo Timur;6;Kaenbaun;Aman
5;Timor Tengah Utara;1;Miomaffo Timur;7;Taekas;Aman
5;Timor Tengah Utara;1;Miomaffo Timur;8;Tunoe;Aman
5;Timor Tengah Utara;1;Miomaffo Timur;9;Tuntun;Aman
5;Timor Tengah Utara;1;Miomaffo Timur;10;Bitefa;Aman
5;Timor Tengah Utara;1;Miomaffo Timur;11;Oesena;Aman
5;Timor Tengah Utara;2;Miomaffo Barat;1;Fatuneno;Aman
5;Timor Tengah Utara;2;Miomaffo Barat;2;Fatunisuan;Aman
5;Timor Tengah Utara;2;Miomaffo Barat;3;Fatutasu;Aman
5;Timor Tengah Utara;2;Miomaffo Barat;4;Haulasi;Aman
5;Timor Tengah Utara;2;Miomaffo Barat;5;Lemon;Aman
5;Timor Tengah Utara;2;Miomaffo Barat;6;Manusasi;Aman
5;Timor Tengah Utara;2;Miomaffo Barat;7;Noepesu;Aman
5;Timor Tengah Utara;2;Miomaffo Barat;8;Noetoko;Aman
5;Timor Tengah Utara;2;Miomaffo Barat;9;Saenam;Aman
5;Timor Tengah Utara;2;Miomaffo Barat;10;Suanae;Aman
5;Timor Tengah Utara;2;Miomaffo Barat;11;Satab;Aman
5;Timor Tengah Utara;2;Miomaffo Barat;12;Eban;Aman
5;Timor Tengah Utara;2;Miomaffo Barat;13;Sallu;Aman
5;Timor Tengah Utara;22;Biboki Tan Pah;4;Teba Timur;Aman
6;Belu;8;Nanaet Dubesi;1;Dubesi;Aman
6;Belu;8;Nanaet Dubesi;2;Fohoeka;Aman
6;Belu;8;Nanaet Dubesi;3;Nanaenoe;Aman
6;Belu;8;Nanaet Dubesi;4;Nanaet;Aman
6;Belu;12;Tasifeto Timur;8;Silawan;Waspada
6;Belu;12;Tasifeto Timur;1;Bauho;Aman
6;Belu;12;Tasifeto Timur;2;Dafala;Aman
6;Belu;12;Tasifeto Timur;3;Fatuba'a;Aman
6;Belu;12;Tasifeto Timur;4;Halimodok;Aman
6;Belu;12;Tasifeto Timur;5;Manleten;Aman
6;Belu;12;Tasifeto Timur;6;Sarabau;Aman
6;Belu;12;Tasifeto Timur;7;Sadi;Aman
6;Belu;12;Tasifeto Timur;9;Takirin;Aman
6;Belu;12;Tasifeto Timur;10;Tialai;Aman
6;Belu;12;Tasifeto Timur;11;Tulakadi;Aman
