Kendari;Poasia;Wundubatu;Aman
Muna;Lasalepa;Kombungo;Aman
Muna;Lasalepa;Labone;Aman
Muna;Lasalepa;Labunti;Aman
Muna;Lasalepa;Lasalepa;Waspada
Muna;Lasalepa;Parida;Aman
Muna;Lohia;Kondongia;Aman
Muna;Lohia;Korihi;Aman
Muna;Lohia;Lakarinta;Aman
Muna;Lohia;Lohia;Aman
Muna;Lohia;Mabholu;Aman
Muna;Lohia;Mantobua;Aman
Muna;Lohia;Napabhale;Aman
Muna;Lohia;Waara;Aman
Muna;Lohia;Wabintinggi;Aman
Muna;Maligano;Langkoroni;Aman
Muna;Maligano;Lapole;Aman
Muna;Maligano;Latompa;Aman
Muna;Maligano;Maligano;Aman
Muna;Maligano;Pohorua;Aman
Muna;Maligano;Raimuna;Aman
Muna;Marobo;Marobo;Aman
Muna;Marobo;Pasikuta;Aman
Muna;Marobo;Poaroha;Aman
Muna;Marobo;Tapitapi;Aman
Muna;Marobo;Wadolao;Aman
Muna;Napabalano;Pentiro;Aman
Muna;Napabalano;Lambiku;Aman
Muna;Napabalano;Napalakura;Aman
Muna;Napabalano;Langkumapo;Aman
Muna;Napabalano;Tampo;Waspada
Muna;Napabalano;Napabalano;Aman
Muna;Parigi;Kosundano;Aman
Muna;Parigi;Labulu Bulu;Aman
Muna;Parigi;Laiba;Aman
Muna;Parigi;Latampu;Aman
Muna;Parigi;Parigi;Aman
Muna;Parigi;Wapuale;Aman
Muna;Parigi;Warambe;Aman
Muna;Parigi;Kosundano;Aman
Muna;Parigi;Wakumoro;Aman
Muna;Parigi;Walambeno Wite;Aman
Muna;Parigi;Wasolangka;Aman
Muna;Pasi Kolaga;Kolese;Aman
Muna;Pasi Kolaga;Lambelu;Aman
Muna;Pasi Kolaga;Mata Indaha;Aman
Muna;Pasi Kolaga;Tampunabale;Aman
Muna;Pasir Putih;Bumbu;Aman
Muna;Pasir Putih;Kamosope;Aman
Muna;Pasir Putih;Kogholifano;Aman
Muna;Pasir Putih;Labulawa;Aman
Muna;Pasir Putih;Liwumetingki;Aman
Muna;Pasir Putih;Pola;Aman
Muna;Tongkuno;Fongkaniwa;Aman
Muna;Tongkuno;Kotano Wuna;Aman
Muna;Tongkuno;Laano Sandana;Aman
Muna;Tongkuno;Laghontoghe;Aman
Muna;Tongkuno;Lakologou;Aman
Muna;Tongkuno;Lamorende;Aman
Muna;Tongkuno;Matano Oe;Aman
Muna;Tongkuno;Oeno Kandoli;Aman
Muna;Tongkuno;Walengkabhola;Aman
Muna;Tongkuno;Danagoa;Aman
Muna;Tongkuno;Kontumolepe;Aman
Muna;Tongkuno;Tombula;Aman
Muna;Tongkuno Selatan;Kulidawa;Aman
Muna;Tongkuno Selatan;Labasa;Aman
Muna;Tongkuno Selatan;Lianosa;Aman
Muna;Tongkuno Selatan;Owe Waungka;Aman
Muna;Tongkuno Selatan;Waale-ale;Aman
Muna;Tongkuno Selatan;Katumpu;Aman
Muna;Towea;Bhontu-Bhontu;Aman
Muna;Towea;Lakarama;Aman
Muna;Towea;Moasi;Aman
Muna;Towea;Renda;Aman
Muna;Towea;Wangkolabu;Aman
Muna;Wakorumba Selatan;Bakealu;Aman
Muna;Wakorumba Selatan;Pure;Aman
Muna;Wakorumba Selatan;Wakorumba;Aman
Muna;Wakorumba Selatan;Wambona;Aman
Muna;Wakorumba Selatan;Labunia;Aman
Muna;Watopute;Bangkali;Aman
Muna;Watopute;Bangkali Barat;Aman
Muna;Watopute;Labaha;Aman
Muna;Watopute;Lakapodo;Aman
Muna;Watopute;Matarawa;Aman
Muna;Watopute;Wakadia;Aman
Muna;Watopute;Wali;Aman
Muna;Watopute;Dana;Aman
Muna;Barangka;Barangka;Aman
Muna;Barangka;Bungkolo;Aman
Muna;Barangka;Lafinde;Aman
Muna;Barangka;Lapolea;Aman
Muna;Barangka;Sawerigadi;Aman
Muna;Barangka;Walelei;Aman
Muna;Barangka;Waulai;Aman
Muna;Barangka;Wuna;Aman
Muna;Kusambi;Bakeramba;Aman
Muna;Kusambi;Guali;Aman
Muna;Kusambi;Kasakamu;Aman
Muna;Kusambi;Kusambi;Aman
Muna;Kusambi;Lakawoghe;Aman
Muna;Kusambi;Lapokainse;Aman
Muna;Kusambi;Lemoambo;Aman
Muna;Kusambi;Sidamangura;Aman
Muna;Kusambi;Tanjung Pinang;Aman
Muna;Kusambi;Konawe;Aman
Muna;Lawa;Lagadi;Aman
Muna;Lawa;Lalemba;Aman
Muna;Lawa;Latompe;Aman
Muna;Lawa;Latugho;Aman
Muna;Lawa;Madampi;Aman
Muna;Lawa;Watumela;Aman
Muna;Lawa;Lapadaku;Aman
Muna;Lawa;Wamelai;Aman
Muna;Maginti;Abadi Jaya;Aman
Muna;Maginti;Bangko;Aman
Muna;Maginti;Gala;Aman
Muna;Maginti;Kangkunawe;Aman
Muna;Maginti;Kembar Maminasa;Aman
Muna;Maginti;Maginti;Aman
Muna;Maginti;Pajala;Aman
Muna;Maginti;Pasipadangan;Aman
Muna;Napano Kusambi;Kombikuno;Aman
Muna;Napano Kusambi;Lahaji;Aman
Muna;Napano Kusambi;Latawe;Aman
Muna;Napano Kusambi;Masara;Aman
Muna;Napano Kusambi;Tangkumaho;Aman
Muna;Napano Kusambi;Umba;Aman
Muna;Sawerigadi;Kampobalano;Aman
Muna;Sawerigadi;Lakalamba;Aman
Muna;Sawerigadi;Lawada Jaya;Aman
Muna;Sawerigadi;Lombu Jaya;Aman
Muna;Sawerigadi;Maperaha;Aman
Muna;Sawerigadi;Marobea;Aman
Muna;Sawerigadi;Nihi;Aman
Muna;Sawerigadi;Ondoke;Aman
Muna;Sawerigadi;Waukuni;Aman
Muna;Sawerigadi;Wakoila;Aman
Muna Barat;Tiworo Kepulauan;Katela;Aman
Muna Barat;Tiworo Kepulauan;Lasama;Aman
Muna Barat;Tiworo Kepulauan;Laworo;Aman
Muna Barat;Tiworo Kepulauan;Sidomakmur;Aman
Muna Barat;Tiworo Kepulauan;Wandoke;Aman
Muna Barat;Tiworo Kepulauan;Waturempe;Aman
Muna Barat;Tiworo Kepulauan;Wulanga Jaya;Aman
Muna Barat;Tiworo Kepulauan;Tiworo;Aman
Muna Barat;Tiworo Kepulauan;Waumere;Waspada
Muna Barat;Tiworo Selatan;Barakkah;Aman
Muna Barat;Tiworo Selatan;Kasimpa Jaya;Aman
Muna Barat;Tiworo Selatan;Katangana;Aman
Muna Barat;Tiworo Selatan;Parura Jaya;Aman
Muna Barat;Tiworo Selatan;Sangia Tiworo;Aman
Muna Barat;Tiworo Tengah;Labokolo;Aman
Muna Barat;Tiworo Tengah;Lakabu;Aman
Muna Barat;Tiworo Tengah;Langku Langku;Aman
Muna Barat;Tiworo Tengah;Mekar Jaya;Aman
Muna Barat;Tiworo Tengah;Momuntu;Aman
Muna Barat;Tiworo Tengah;Suka Damai;Aman
Muna Barat;Tiworo Tengah;Wanseriwu;Aman
Muna Barat;Tiworo Tengah;Wapae;Aman
Muna Barat;Tiworo Utara;Bero;Aman
Muna Barat;Tiworo Utara;Mandike;Aman
Muna Barat;Tiworo Utara;Santigi;Aman
Muna Barat;Tiworo Utara;Santiri;Aman
Muna Barat;Tiworo Utara;Tasipi;Aman
Muna Barat;Tiworo Utara;Tiga;Aman
Muna Barat;Tiworo Utara;Tondasi;Aman
Muna Barat;Wadaga;Kampani;Aman
Muna Barat;Wadaga;Katobu;Aman
Muna Barat;Wadaga;Lailangga;Aman
Muna Barat;Wadaga;Lakanaha;Aman
Muna Barat;Wadaga;Lasosodo;Aman
Muna Barat;Wadaga;Lindo;Aman
Muna Barat;Wadaga;Wakontu;Aman
