;MALUKU TENGGARA;;kei Kecil Timur;592;Wain abean;Aman;Aman;
;MALUKU TENGGARA;;kei Kecil Timur;593;Raat;Aman;Aman;
;MALUKU TENGGARA;;kei Kecil Barat;597;Madwaer;Aman;Aman;
;MALUKU TENGGARA;;kei Kecil Barat;598;Somlaeng;Aman;Aman;
;MALUKU TENGGARA;;kei Kecil Barat;599;Ohoireng;Aman;Aman;
;MALUKU TENGGARA;;Manyeuw;609;ohililir;Aman;Aman;
;MALUKU TENGGARA;;Manyeuw;610;Ohoilub;Aman;Aman;
;MALUKU TENGGARA;;Manyeuw;611;rumah dian;Aman;Aman;
;MALUKU TENGGARA;;Hoat Sorbay;617;Letwuan (letvuan);Aman;Aman;
;MALUKU TENGGARA;;Hoat Sorbay;620;ohoi badar;Aman;Aman;
;MALUKU TENGGARA;9;kei Besar Utara Barat;626;at ngurwul;Aman;Aman;
;MALUKU TENGGARA;;kei Besar Utara Barat;627;at Ohoiwaf;Aman;Aman;
;MALUKU TENGGARA;;kei Besar Utara Barat;628;at wear aur;Aman;Aman;
;MALUKU TENGGARA;;kei Besar Utara Barat;634;laar (laar Perda);Aman;Aman;
;MALUKU TENGGARA;;kei Besar Utara Barat;635;munessoy;Aman;Aman;
;MALUKU TENGGARA;;kei Besar Utara Barat;636;mun khaar;Aman;Aman;
;MALUKU TENGGARA;;kei Besar Utara Barat;637;mun ngurdit wain;Aman;Aman;
;MALUKU TENGGARA;;kei Besar Utara Barat;639;ngurwalet;Aman;Aman;
;MALUKU TENGGARA;;kei Besar Utara Barat;640;ohoi tuf;Aman;Aman;
;MALUKU TENGGARA;;kei Besar Utara Barat;642;uwatreyaan;Aman;Aman;
;MALUKU TENGGARA;;kei Besar Utara Barat;643;uwatwear;Aman;Aman;
;MALUKU TENGGARA;;kei Besar Selatan Barat;656;weduar feer;Aman;Aman;
;MALUKU TENGGARA;11;kei Besar Timur Selatan;657;Danar Ohoiseb;Aman;Aman;
;MALUKU TENGGARA;;kei Besar Timur Selatan;658;Danar Ternate;Aman;Aman;
;MALUKU TENGGARA;;kei Besar Timur Selatan;659;Danar lumefar;Aman;Aman;
;MALUKU TENGGARA;;kei Besar Timur Selatan;660;Elaar Nursoin;Aman;Aman;
;MALUKU TENGGARA;;kei Besar Timur Selatan;661;Elaar lamagorang;Aman;Aman;
;MALUKU TENGGARA;;kei Besar Timur Selatan;662;Elaar Let;Aman;Aman;
;MALUKU TENGGARA;;kei Besar Timur Selatan;663;Sare;Aman;Aman;
;MALUKU TENGGARA;;kei Besar Timur Selatan;664;Maar;Aman;Aman;
;MALUKU TENGGARA;;kei Besar Timur Selatan;665;uf;Aman;Aman;
;MALUKU TENGGARA;;kei Besar Timur Selatan;666;Ngurwul;Aman;Aman;
;MALUKU TENGGARA;;kei Besar Timur Selatan;667;Garara;Aman;Aman;
6;TUAL;1;Pulau Dulla Utara;668;Dullah (Darat);Aman;Aman;
;TUAL;;Pulau Dulla Utara;669;Dullah Laut;Aman;Aman;
;TUAL;;Pulau Dulla Utara;670;Fiditan;Aman;Aman;
;TUAL;;Pulau Dulla Utara;671;Labetawi;Aman;Aman;
;TUAL;;Pulau Dulla Utara;672;Ngadi;Aman;Aman;
;TUAL;;Pulau Dulla Utara;673;Ohoitahit;Aman;Aman;
;TUAL;;Pulau Dulla Utara;674;Ohoitel;Aman;Aman;
;TUAL;;Pulau Dulla Utara;675;Tamedan;Aman;Aman;
;TUAL;2;Pulau Dulla Selatan;676;Ketsoblak;Aman;Aman;
;TUAL;;Pulau Dulla Selatan;677;Lodar Ell;Aman;Aman;
;TUAL;;Pulau Dulla Selatan;678;Masrum;Aman;Aman;
;TUAL;;Pulau Dulla Selatan;679;Taar;Aman;Aman;
;TUAL;;Pulau Dulla Selatan;680;Kiom;Waspada;Waspada;
;TUAL;;Pulau Dulla Selatan;681;Tual;Aman;Aman;
;TUAL;;Tayando Tam;684;TayandoOhoiel;Aman;Aman;
;TUAL;;Pulau-pulau Kur;690;_;Aman;Aman;
