5;Timor Tengah Utara;1;Miomaffo Timur;4;Femnasi;Aman;Aman
5;Timor Tengah Utara;1;Miomaffo Timur;5;Jak;Aman;Aman
5;Timor Tengah Utara;1;Miomaffo Timur;6;Kaenbaun;Aman;Aman
5;Timor Tengah Utara;1;Miomaffo Timur;7;Taekas;Aman;Aman
5;Timor Tengah Utara;1;Miomaffo Timur;8;Tunoe;Aman;Aman
5;Timor Tengah Utara;1;Miomaffo Timur;9;Tuntun;Aman;Aman
5;Timor Tengah Utara;1;Miomaffo Timur;10;Bitefa;Aman;Aman
5;Timor Tengah Utara;1;Miomaffo Timur;11;Oesena;Aman;Aman
5;Timor Tengah Utara;2;Miomaffo Barat;1;Fatuneno;Aman;Aman
5;Timor Tengah Utara;2;Miomaffo Barat;2;Fatunisuan;Aman;Aman
5;Timor Tengah Utara;2;Miomaffo Barat;3;Fatutasu;Aman;Aman
5;Timor Tengah Utara;2;Miomaffo Barat;4;Haulasi;Aman;Aman
5;Timor Tengah Utara;2;Miomaffo Barat;5;Lemon;Aman;Aman
5;Timor Tengah Utara;2;Miomaffo Barat;6;Manusasi;Aman;Aman
5;Timor Tengah Utara;2;Miomaffo Barat;7;Noepesu;Aman;Aman
5;Timor Tengah Utara;2;Miomaffo Barat;8;Noetoko;Aman;Aman
5;Timor Tengah Utara;2;Miomaffo Barat;9;Saenam;Aman;Aman
5;Timor Tengah Utara;2;Miomaffo Barat;10;Suanae;Aman;Aman
5;Timor Tengah Utara;2;Miomaffo Barat;11;Satab;Aman;Aman
5;Timor Tengah Utara;2;Miomaffo Barat;12;Eban;Aman;Aman
5;Timor Tengah Utara;2;Miomaffo Barat;13;Sallu;Aman;Aman
5;Timor Tengah Utara;22;Biboki Tan Pah;4;Teba Timur;Aman;Aman
6;Belu;8;Nanaet Dubesi;1;Dubesi;Aman;Aman
6;Belu;8;Nanaet Dubesi;2;Fohoeka;Aman;Aman
6;Belu;8;Nanaet Dubesi;3;Nanaenoe;Aman;Aman
6;Belu;8;Nanaet Dubesi;4;Nanaet;Aman;Aman
