;BELITUNG;;TANJUNGPANDAN;307; AIR PELEMPANG JAYA;WASPADA;WASPADA;;;;;;
;BELITUNG;;TANJUNGPANDAN;308; AIR RAYAK;BAHAYA;SIAGA;;;;;;
;BELITUNG;;TANJUNGPANDAN;309; AIR MERBAU;WASPADA;WASPADA;;;;;;
;BELITUNG;;TANJUNGPANDAN;310; AIR SAGA;WASPADA;SIAGA;;;;;;
;BELITUNG;;TANJUNGPANDAN;311; BULUH TUMBANG;SIAGA;SIAGA;;;;;;
;BELITUNG;;TANJUNGPANDAN;312; DUKONG;SIAGA;AMAN;;;;;;
;BELITUNG;;TANJUNGPANDAN;313; JURU SEBERANG;SIAGA;WASPADA;;;;;;
;BELITUNG;;TANJUNGPANDAN;314; PERAWAS;SIAGA;AMAN;;;;;;
;BELITUNG;;TANJUNGPANDAN;315; KAMPONG DAMAI;BAHAYA;SIAGA;;;;;;
;BELITUNG;;TANJUNGPANDAN;316; LESUNG BATANG;WASPADA;SIAGA;;;;;;
;BELITUNG;;TANJUNGPANDAN;317; PAAL 1;SIAGA;SIAGA;;;;;;
;BELITUNG;;TANJUNGPANDAN;318; PANGKALLALANG;BAHAYA;SIAGA;;;;;;
;BELITUNG;;TANJUNGPANDAN;319; PARIT;BAHAYA;SIAGA;;;;;;
;BELITUNG;;TANJUNGPANDAN;320; TJ. PENDAM;BAHAYA;WASPADA;;;;;;
;BELITUNG;;MEMBALONG;330; KEMBIRI LASSAR;SIAGA;AMAN;;;;;;
;BELITUNG;;MEMBALONG;338; TANJUNG RUSA;SIAGA;AMAN;;;;;;
;BELITUNG;;SIJUK;351; TANJONG BINGA;SIAGA;AMAN;;;;;;
;BELITUNG TIMUR;;MANGGAR;354; BENTAYAN JAYA;AMAN;SIAGA;;;;;;
;BELITUNG TIMUR;;DENDANG;371; GANTUNG;SIAGA;SIAGA;;;;;;
;BELITUNG TIMUR;;DENDANG;372; BATU PENYU;SIAGA;AMAN;;;;;;
;BELITUNG TIMUR;;DENDANG;373; GANTUNG;SIAGA;AMAN;;;;;;
;BELITUNG TIMUR;;DENDANG;374; JANGKAR ASAM;SIAGA;AMAN;;;;;;
;BELITUNG TIMUR;;DENDANG;375; LENGGANG;SIAGA;AMAN;;;;;;
;BELITUNG TIMUR;;DENDANG;376; LILALANG;SIAGA;AMAN;;;;;;
;BELITUNG TIMUR;;DENDANG;377; LIMBONGAN;SIAGA;AMAN;;;;;;
;BELITUNG TIMUR;;DENDANG;378; SELINSING;SIAGA;AMAN;;;;;;
;BELITUNG TIMUR;;SIMPANG PESAK;387; TANJONG BATU HITAM;SIAGA;AMAN;;;;;;
;BELITUNG TIMUR;;SIMPANG PESAK;388; TANJONG KELUMPANG;AMAN;AMAN;;;;;;
;BELITUNG TIMUR;6;RENGGIANG;389; AIR MADU;SIAGA;AMAN;;;;;;
