; BANDARLAMPUNG;20;Way Halim;1;Gunung Sulah;Siaga;Siaga
; BANDARLAMPUNG;;Way Halim;2;Jagabaya I;Siaga;Siaga
; BANDARLAMPUNG;;Way Halim;3;Jagabaya II;Waspada;Siaga
; BANDARLAMPUNG;;Way Halim;4;Jagabaya III;Siaga;Siaga
; BANDARLAMPUNG;;Way Halim;5;Perumnas Way Halim;Waspada;Waspada
; BANDARLAMPUNG;;Way Halim;6;Way Halim Permai;Siaga;Siaga
; METRO;2;Metro Timur;1; Iringmulyo;Waspada;Waspada
; METRO;;Metro Timur;4; Tejoagung;Siaga;Siaga
; METRO;;Metro Barat;3; Ganjaragung;Siaga;Siaga
; METRO;;Metro Barat;4; Ganjarasri;Siaga;Siaga
;LAMPUNG SELATAN;; Bakauheni;5; Totoharjo;Aman;Siaga
;LAMPUNG SELATAN;; Candipuro;5; Cintamulya;Aman;Siaga
;LAMPUNG SELATAN;; Candipuro;9; Sidoasri;Aman;Siaga
;LAMPUNG SELATAN;; Jati Agung;5; Jatimulyo;Siaga;Waspada
;LAMPUNG SELATAN;; Jati Agung;11; Margo Dadi;Aman;Aman
;LAMPUNG SELATAN;; Jati Agung;13; Margo Rejo;Aman;Aman
;LAMPUNG SELATAN;; Jati Agung;14; Margomulyo;Aman;Aman
;LAMPUNG SELATAN;; Jati Agung;17; Sidoasri;Aman;Aman
;LAMPUNG SELATAN;; Jati Agung;21; Way Huwi;Siaga;Siaga
;LAMPUNG SELATAN;; Kalianda;13; Marga Catur;Aman;Aman
;LAMPUNG SELATAN;; Kalianda;14; Merak Belantung;Siaga;Siaga
;LAMPUNG SELATAN;; Kalianda;15; Munjuk Sempurna;Aman;Aman
;LAMPUNG SELATAN;; Kalianda;20; Suka Tani;Aman;Aman
;LAMPUNG SELATAN;; Kalianda;22; Sumurkumbang;Aman;Aman
;LAMPUNG SELATAN;; Kalianda;29; Way Lubuk;Aman;Siaga
;LAMPUNG SELATAN;; Katibung;8; Tanjungagung;Siaga;Siaga
;LAMPUNG SELATAN;; Katibung;10; Tanjungratu;Siaga;Siaga
;LAMPUNG SELATAN;6; Ketapang;1; Bangun Rejo;Siaga;Siaga
;LAMPUNG SELATAN;; Ketapang;7; Lembung Nala;Aman;Aman
;LAMPUNG SELATAN;; Ketapang;12; Sri Pendowo;Siaga;Siaga
;LAMPUNG SELATAN;; Ketapang;16; Tri Darma Yoga;Aman;Siaga
;LAMPUNG SELATAN;; Merbau Mataram;2; Batuagung;Aman;Aman
;LAMPUNG SELATAN;; Merbau Mataram;5; Lebungsari;Aman;Aman
;LAMPUNG SELATAN;; Merbau Mataram;9; Pujirahayu;Aman;Aman
;LAMPUNG SELATAN;8; Natar;1; Bandar Rejo;Aman;Aman
;LAMPUNG SELATAN;; Natar;2; Banjarnegeri;Aman;Aman
;LAMPUNG SELATAN;; Natar;3; Beranti Raya;Siaga;Siaga
;LAMPUNG SELATAN;; Natar;4; Bumisari;Aman;Siaga
;LAMPUNG SELATAN;; Natar;7; Kalisari;Aman;Aman
;LAMPUNG SELATAN;; Natar;24; Sukadamai;Siaga;Siaga
;LAMPUNG SELATAN;; Natar;25; Tanjungsari;Aman;Siaga
;LAMPUNG SELATAN;; Palas;17; Suka Mulya;Aman;Siaga
;LAMPUNG SELATAN;10; Penengahan;1; Banjarmasin;Aman;Siaga
;LAMPUNG SELATAN;; Penengahan;5; Gedungharta;Aman;Siaga
;LAMPUNG SELATAN;; Penengahan;6; Kampungbaru;Aman;Siaga
;LAMPUNG SELATAN;; Penengahan;12; Panengahan;Aman;Siaga
;LAMPUNG SELATAN;; Penengahan;17; Sukabaru;Aman;Siaga
;LAMPUNG SELATAN;11; Rajabasa;1; Banding;Aman;Siaga
;LAMPUNG SELATAN;; Rajabasa;2; Batu Balak;Aman;Aman
;LAMPUNG SELATAN;; Rajabasa;3; Betung;Aman;Siaga
;LAMPUNG SELATAN;; Rajabasa;4; Canggung;Aman;Siaga
;LAMPUNG SELATAN;; Rajabasa;5; Canti;Siaga;Siaga
;LAMPUNG SELATAN;; Rajabasa;6; Cugung;Aman;Aman
;LAMPUNG SELATAN;; Rajabasa;7; Hargo Pancoran;Aman;Aman
;LAMPUNG SELATAN;; Rajabasa;8; Kerinjing;Aman;Aman
;LAMPUNG SELATAN;; Rajabasa;9;  Guring;Aman;Siaga
;LAMPUNG SELATAN;; Rajabasa;10; Kunjir;Siaga;Siaga
;LAMPUNG SELATAN;; Rajabasa;11; Rajabasa;Aman;Siaga
;LAMPUNG SELATAN;; Rajabasa;12; Sukaraja;Siaga;Siaga
;LAMPUNG SELATAN;; Rajabasa;13; Tanjung Gading;Aman;Aman
;LAMPUNG SELATAN;; Rajabasa;14; Tejang Pulau Sebesi;Aman;Aman
;LAMPUNG SELATAN;; Rajabasa;15; Waymuli;Siaga;Siaga
;LAMPUNG SELATAN;; Rajabasa;16; Waymuli Timur;Siaga;Siaga
;LAMPUNG SELATAN;; Sidomulyo;2; Budi Daya;Aman;Siaga
;LAMPUNG SELATAN;; Sidomulyo;12; Sukabanjar;Aman;Aman
;LAMPUNG SELATAN;; Sidomulyo;16; Banjarsuri;Aman;Aman
;LAMPUNG SELATAN;13; Sragi;1; Bakti Rasa;Siaga;Siaga
;LAMPUNG SELATAN;; Sragi;5; Mandalasari;Aman;Aman
;LAMPUNG SELATAN;; Sragi;6; Margajasa;Aman;Aman
;LAMPUNG SELATAN;; Tanjung Bintang;4; Jatibaru;Siaga;Siaga
;LAMPUNG SELATAN;; Tanjung Bintang;5; Kali Asin;Aman;Siaga
;LAMPUNG SELATAN;15;Tanjung Sari;1; Bangunsari;Aman;Aman
;LAMPUNG SELATAN;;Tanjung Sari;2; Kertosari;Siaga;Siaga
;LAMPUNG SELATAN;;Tanjung Sari;3; Malang Sari;Aman;Aman
;LAMPUNG SELATAN;;Tanjung Sari;4; Mulyo Sari;Aman;Aman
;LAMPUNG SELATAN;;Tanjung Sari;5; Purwodadi Dalam;Aman;Siaga
;LAMPUNG SELATAN;;Tanjung Sari;6; Sidomukti;Aman;Aman
;LAMPUNG SELATAN;;Tanjung Sari;7; Wawasan;Aman;Siaga
;LAMPUNG SELATAN;;Tanjung Sari;8; Wonodadi;Aman;Aman
;LAMPUNG SELATAN;; Way Panji;2; Sido Harjo;Siaga;Siaga
;LAMPUNG SELATAN;; Way Panji;3; Sido Makmur;Aman;Aman
;LAMPUNG SELATAN;; Way Panji;4; Sido Reno;Aman;Siaga
;LAMPUNG SELATAN;; Way Sulan;3; Mekarsari;Aman;Aman
;LAMPUNG SELATAN;; Way Sulan;4; Pemulihan;Aman;Aman
;TANGGAMUS;;Air Naningan;7;Sido Mulyo;Siaga;Siaga
;TANGGAMUS;3;Bulok;1;Banjarmasin;Waspada;Waspada
;TANGGAMUS;;Cukuh Balak;6;Kejatian Lom;Siaga;Siaga
;TANGGAMUS;;Cukuh Balak;8;Kutakhang;Siaga;Siaga
;TANGGAMUS;;Gisting;57;Kutadalom;Siaga;Siaga
;TANGGAMUS;7;Kelumbayan;73;Kiluan Negeri;Siaga;Siaga
;TANGGAMUS;;Kelumbayan;74;Napal;Siaga;Siaga
;TANGGAMUS;;Kelumbayan;75;Negeri Kelumbayan;Siaga;Siaga
;TANGGAMUS;;Kelumbayan;76;Paku;Siaga;Siaga
;TANGGAMUS;;Kelumbayan;77;Pekon Susuk;Siaga;Siaga
;TANGGAMUS;;Kelumbayan;78;Pekon Unggak;Siaga;Siaga
;TANGGAMUS;;Kelumbayan;79;Penyandingan;Waspada;Waspada
;TANGGAMUS;;Kelumbayan;80;Umbar;Siaga;Siaga
;TANGGAMUS;; Agung;89;Penanggungan;Siaga;Siaga
;TANGGAMUS;9; Agung Barat;97;Banjarmasin;Siaga;Siaga
;TANGGAMUS;; Agung Barat;103;Kasugihan;Siaga;Siaga
;TANGGAMUS;; Agung Barat;107;Pajajaran;Siaga;Siaga
;TANGGAMUS;; Agung Barat;111;Teba Bunuk;Siaga;Siaga
;TANGGAMUS;10; Agung Timur;113;Batu Keramat;Siaga;Siaga
;TANGGAMUS;; Agung Timur;116;Karta;Siaga;Siaga
;TANGGAMUS;;Pulau Panggung;179;Gunung Agung;Aman;Aman
;TANGGAMUS;;Pulau Panggung;186;Sinar Mancat;Siaga;Siaga
;TANGGAMUS;;Pulau Panggung;195;Tanjun Rejo;Siaga;Siaga
;TANGGAMUS;16;Sumberejo;220;Argomulyo;Siaga;Siaga
;TANGGAMUS;;Sumberejo;221;Argopeni;Siaga;Siaga
;TANGGAMUS;;Sumberejo;222;Dadapan;Siaga;Siaga
;TANGGAMUS;;Sumberejo;223;Kebumen;Siaga;Siaga
;TANGGAMUS;;Sumberejo;224;Margodadi;Siaga;Siaga
;TANGGAMUS;;Sumberejo;225;Margoyoso;Siaga;Siaga
;TANGGAMUS;;Sumberejo;226;Sidomulyo;Siaga;Siaga
;TANGGAMUS;;Sumberejo;227;Sidorejo;Waspada;Waspada
;TANGGAMUS;;Sumberejo;228;Simpang Kanan;Siaga;Siaga
;TANGGAMUS;;Sumberejo;229;simpang Mulyo;Siaga;Siaga
;TANGGAMUS;;Sumberejo;230;Sumberejo;Waspada;Waspada
;TANGGAMUS;;Sumberejo;231;Tegal Binangun;Siaga;Siaga
;TANGGAMUS;;Sumberejo;232;Wonoharjo;Siaga;Siaga
;TANGGAMUS;;Talang Padang;245;Sukabumi;Siaga;Siaga
;TANGGAMUS;;Ulu Belu;260;Pagaralam Ulu Belu;Siaga;Siaga
;TANGGAMUS;;Ulu Belu;266;Sukamaju;Siaga;Siaga
;TANGGAMUS;;Wonosobo;273;Dadi Mulyo;Siaga;Siaga
;TANGGAMUS;;Wonosobo;274;Dadi Sari;Siaga;Siaga
;TANGGAMUS;;Wonosobo;275;Kali rejo;Siaga;Siaga
;TANGGAMUS;20;Kelumbayan Barat;297;Lengkukai;Waspada;Siaga
;TANGGAMUS;;Kelumbayan Barat;298;Batu Patah;Siaga;Siaga
;TANGGAMUS;;Kelumbayan Barat;299;Marga Mulya;Siaga;Siaga
;TANGGAMUS;;Kelumbayan Barat;300;Merbau;Siaga;Siaga
;TANGGAMUS;;Kelumbayan Barat;301;Puwosari;Siaga;Siaga
;TANGGAMUS;;Kelumbayan Barat;302;Sidoharjo;Siaga;Siaga
;LAMPUNG TIMUR;2;BATANGHARI;1;Adi Warno;Aman;Aman
;LAMPUNG TIMUR;;BATANGHARI;2;Bale Kencono;Aman;Aman
;LAMPUNG TIMUR;;BATANGHARI;3;Bale Rejo;Aman;Aman
;LAMPUNG TIMUR;;BATANGHARI;5;Banjar Rejo;Waspada;Waspada
;LAMPUNG TIMUR;;BATANGHARI;6;Batang Harjo;Waspada;Waspada
;LAMPUNG TIMUR;;BATANGHARI;10;Nampi Rejo;Waspada;Siaga;BERANTAS
;LAMPUNG TIMUR;;BATANGHARI;16;Sumber Rejo;Waspada;Waspada
;LAMPUNG TIMUR;;BATANGHARI;17;Telogo Rejo;Waspada;Waspada
;LAMPUNG TIMUR;;BATANGHARI NUBAN;6;Kedaton 1;Waspada;Waspada
;LAMPUNG TIMUR;;BATANGHARI NUBAN;12;Trisno Mulyo;Waspada;Waspada
;LAMPUNG TIMUR;;WAY JEPARA;13;Sriwangi;Bahaya;Bahaya
;LAMPUNG TIMUR;;WAY JEPARA;15;Sumber Rejo;Aman;Aman
;LAMPUNG TIMUR;;JABUNG;5;Beteng Sari;Bahaya;Bahaya
;LAMPUNG TIMUR;;LABUHAN MARINGGAI;6;Marga Sari;Waspada;Waspada
;LAMPUNG TIMUR;;MARGA TIGA;2;Gedung Wani Timur;Bahaya;Bahaya
;LAMPUNG TIMUR;;MARGA TIGA;13;Tri Sinar;Siaga;Siaga
;LAMPUNG TIMUR;;METRO KIBANG;5;Margo Toto;Waspada;Waspada
;LAMPUNG TIMUR;17;PEKALONGAN;1;Adi Rejo;Bahaya;Bahaya
;LAMPUNG TIMUR;;PEKALONGAN;5;Gondang Rejo;Bahaya;Bahaya
;LAMPUNG TIMUR;;PEKALONGAN;7;Kali Bening;Bahaya;Bahaya
;LAMPUNG TIMUR;;PEKALONGAN;11;Tulus Rejo;Waspada;Waspada
;LAMPUNG TIMUR;;RAMAN UTARA;11;Rukti Sediyo;Aman;Aman
;LAMPUNG TIMUR;20;SEKAMPUNG;1;Giri Karto;Siaga;Siaga
;LAMPUNG TIMUR;;SEKAMPUNG;3;Hargo Mulyo;Siaga;Siaga
;LAMPUNG TIMUR;;SEKAMPUNG;15;Sumbersari;Bahaya;Bahaya
;LAMPUNG TIMUR;;SEKAMPUNG;17;Wono Karto;Waspada;Waspada
;LAMPUNG TIMUR;;SEKAMPUNG UDIK;12;Purwo Kencono;Waspada;Waspada
;LAMPUNG TIMUR;;SUKADANA;15;Sukadana Pasar;Bahaya;Bahaya
;LAMPUNG TIMUR;;SUKADANA;20;Terbanggi Marga;Waspada;Waspada
;LAMPUNG TIMUR;;WAWAY KARYA;7;Sido Rahayu;Siaga;Siaga
;LAMPUNG TIMUR;;WAWAY KARYA;9;Sumber Rejo;Siaga;Siaga
;LAMPUNG TIMUR;;WAY BUNGUR;4;Tanjung Kencono;Siaga;Siaga
6;PESAWARAN;1; Gedong Tataan;1;Begelen;Siaga;Siaga
;PESAWARAN;; Gedong Tataan;3;Bogonegoro;Aman;Aman
;PESAWARAN;; Gedong Tataan;5;Gedong tataan;Waspada;Siaga
;PESAWARAN;; Gedong Tataan;13;Sukabanjar;Aman;Siaga
;PESAWARAN;; Gedong Tataan;14;Sukabakti;Aman;Aman
