;INDRAGIRI HILIR;;ENOK;595;SUNGAI AMBAT;Aman
;INDRAGIRI HILIR;;ENOK;598;TELUK MEDAN;Aman
;INDRAGIRI HILIR;;ENOK;602;SUNGAI LOKAN;Aman
;INDRAGIRI HILIR;;ENOK;603;PANTAI SEBERANG MAKMUR;Aman
;INDRAGIRI HILIR;6;TANAH MERAH;605;SUNGAI NYIUR;Aman
;INDRAGIRI HILIR;;TANAH MERAH;606;SELAT NAMA;Aman
;INDRAGIRI HILIR;;TANAH MERAH;608;SUNGAI LAUT;Aman
;INDRAGIRI HILIR;;TANAH MERAH;609;TANJUNG PASIR;Aman
;INDRAGIRI HILIR;;TANAH MERAH;611;TANJUNG BARU;Aman
;INDRAGIRI HILIR;7;KUALA INDRAGIRI;615;TANJUNG LAJAU;Aman
;INDRAGIRI HILIR;;KUALA INDRAGIRI;616;SUNGAI BULUH;Aman
;INDRAGIRI HILIR;;KUALA INDRAGIRI;617;SUNGAI BELA;Aman
;INDRAGIRI HILIR;;KUALA INDRAGIRI;620;TELUK DALAM;Aman
;INDRAGIRI HILIR;;KUALA INDRAGIRI;621;SUNGAI PIYAI;Aman
;INDRAGIRI HILIR;;KUALA INDRAGIRI;622;TANJUNG MELAYU;Aman
;INDRAGIRI HILIR;;CONCONG;627;SUNGAI BERAPIT;Aman
;INDRAGIRI HILIR;;TEMBILAHAN;630;SUNGAI PERAK;Aman
;INDRAGIRI HILIR;;TEMBILAHAN;634;SUNGAI BERINGIN;Bahaya
;INDRAGIRI HILIR;;TEMBILAHAN;635;SEBERANG TEMBILAHANBARAT;Aman
;INDRAGIRI HILIR;;TEMBILAHAN;636;SEBERANGTEMBILAHAN SELATAN;Aman
;INDRAGIRI HILIR;;TEMBILAHAN;637;PULAU PALAS;Aman
;INDRAGIRI HILIR;;TEMBILAHAN HULU;641;SUNGAI INTAN;Aman
;INDRAGIRI HILIR;;TEMBILAHAN HULU;643;TEMBILAHAN SELATAN;Aman
;INDRAGIRI HILIR;;TEMPULING;645;SUNGAI SALAK;Aman
;INDRAGIRI HILIR;;TEMPULING;646;TELUK JIRA;Aman
;INDRAGIRI HILIR;;TEMPULING;648;TELUK KIAMBANG;Aman
;INDRAGIRI HILIR;;TEMPULING;651;TANJUNG PIDADA;Aman
;INDRAGIRI HILIR;;KEMPAS;656;SUNGAI ARA;Aman
;INDRAGIRI HILIR;;KEMPAS;660;SUNGAI GANTANG;Aman
;INDRAGIRI HILIR;;KEMPAS;661;SUNGAI RABIT;Aman
;INDRAGIRI HILIR;;KEMPAS;664;DANAU PULAI INDAH;Aman
;INDRAGIRI HILIR;;BATANG TUAKA;666;SUNGAI RAYA;Aman
;INDRAGIRI HILIR;;BATANG TUAKA;667;SUNGAI JUNJANGAN;Aman
;INDRAGIRI HILIR;;BATANG TUAKA;668;SUNGAI LUAR;Aman
;INDRAGIRI HILIR;;BATANG TUAKA;669;SUNGAI DUSUN;Aman
;INDRAGIRI HILIR;;BATANG TUAKA;670;SUNGAI PIRING;Aman
;INDRAGIRI HILIR;;BATANG TUAKA;671;TANJUNG SIANTAR;Aman
